,Age,Fare,Parch,Pclass,Sex,SibSp,Survived,Title,FamilySize,FamilyD,Deck,Child,Mother,age_times_class,Embarked_C,Embarked_Q,Embarked_S
0,22.0,7.25,0,3,0,1,0.0,5,2,small,,0,0,66.0,0,0,1
1,38.0,71.2833,0,1,1,1,1.0,2,2,small,C,0,0,38.0,1,0,0
2,26.0,7.925,0,3,1,0,1.0,1,1,singleton,,0,0,78.0,0,0,1
3,35.0,53.1,0,1,1,1,1.0,2,2,small,C,0,0,35.0,0,0,1
4,35.0,8.05,0,3,0,0,0.0,5,1,singleton,,0,0,105.0,0,0,1
5,26.0,8.4583,0,3,0,0,0.0,5,1,singleton,,0,0,78.0,0,1,0
6,54.0,51.8625,0,1,0,0,0.0,5,1,singleton,E,0,0,54.0,0,0,1
7,2.0,21.075,1,3,0,3,0.0,4,5,large,,1,0,6.0,0,0,1
8,27.0,11.1333,2,3,1,0,1.0,2,3,small,,0,1,81.0,0,0,1
9,14.0,30.0708,0,2,1,1,1.0,2,2,small,,1,0,28.0,1,0,0
10,4.0,16.7,1,3,1,1,1.0,1,3,small,G,1,0,12.0,0,0,1
11,58.0,26.55,0,1,1,0,1.0,1,1,singleton,C,0,0,58.0,0,0,1
12,20.0,8.05,0,3,0,0,0.0,5,1,singleton,,0,0,60.0,0,0,1
13,39.0,31.275,5,3,0,1,0.0,5,7,large,,0,0,117.0,0,0,1
14,14.0,7.8542,0,3,1,0,0.0,1,1,singleton,,1,0,42.0,0,0,1
15,55.0,16.0,0,2,1,0,1.0,2,1,singleton,,0,0,110.0,0,0,1
16,2.0,29.125,1,3,0,4,0.0,4,6,large,,1,0,6.0,0,1,0
17,30.0,13.0,0,2,0,0,1.0,5,1,singleton,,0,0,60.0,0,0,1
18,31.0,18.0,0,3,1,1,0.0,2,2,small,,0,0,93.0,0,0,1
19,31.0,7.225,0,3,1,0,1.0,2,1,singleton,,0,0,93.0,1,0,0
20,35.0,26.0,0,2,0,0,0.0,5,1,singleton,,0,0,70.0,0,0,1
21,34.0,13.0,0,2,0,0,1.0,5,1,singleton,D,0,0,68.0,0,0,1
22,15.0,8.0292,0,3,1,0,1.0,1,1,singleton,,1,0,45.0,0,1,0
23,28.0,35.5,0,1,0,0,1.0,5,1,singleton,A,0,0,28.0,0,0,1
24,8.0,21.075,1,3,1,3,0.0,1,5,large,,1,0,24.0,0,0,1
25,38.0,31.3875,5,3,1,1,1.0,2,7,large,,0,1,114.0,0,0,1
26,26.0,7.225,0,3,0,0,0.0,5,1,singleton,,0,0,78.0,1,0,0
27,19.0,263.0,2,1,0,3,0.0,5,6,large,C,0,0,19.0,0,0,1
28,18.0,7.8792,0,3,1,0,1.0,1,1,singleton,,0,0,54.0,0,1,0
29,26.0,7.8958,0,3,0,0,0.0,5,1,singleton,,0,0,78.0,0,0,1
30,40.0,27.7208,0,1,0,0,0.0,5,1,singleton,,0,0,40.0,1,0,0
31,45.0,146.5208,0,1,1,1,1.0,2,2,small,B,0,0,45.0,1,0,0
32,18.0,7.75,0,3,1,0,1.0,1,1,singleton,,0,0,54.0,0,1,0
33,66.0,10.5,0,2,0,0,0.0,5,1,singleton,,0,0,132.0,0,0,1
34,28.0,82.1708,0,1,0,1,0.0,5,2,small,,0,0,28.0,1,0,0
35,42.0,52.0,0,1,0,1,0.0,5,2,small,,0,0,42.0,0,0,1
36,26.0,7.2292,0,3,0,0,1.0,5,1,singleton,,0,0,78.0,1,0,0
37,21.0,8.05,0,3,0,0,0.0,5,1,singleton,,0,0,63.0,0,0,1
38,18.0,18.0,0,3,1,2,0.0,1,3,small,,0,0,54.0,0,0,1
39,14.0,11.2417,0,3,1,1,1.0,1,2,small,,1,0,42.0,1,0,0
40,40.0,9.475,0,3,1,1,0.0,2,2,small,,0,0,120.0,0,0,1
41,27.0,21.0,0,2,1,1,0.0,2,2,small,,0,0,54.0,0,0,1
42,26.0,7.8958,0,3,0,0,0.0,5,1,singleton,,0,0,78.0,1,0,0
43,3.0,41.5792,2,2,1,1,1.0,1,4,small,,1,0,6.0,1,0,0
44,19.0,7.8792,0,3,1,0,1.0,1,1,singleton,,0,0,57.0,0,1,0
45,26.0,8.05,0,3,0,0,0.0,5,1,singleton,,0,0,78.0,0,0,1
46,26.0,15.5,0,3,0,1,0.0,5,2,small,,0,0,78.0,0,1,0
47,18.0,7.75,0,3,1,0,1.0,1,1,singleton,,0,0,54.0,0,1,0
48,26.0,21.6792,0,3,0,2,0.0,5,3,small,,0,0,78.0,1,0,0
49,18.0,17.8,0,3,1,1,0.0,2,2,small,,0,0,54.0,0,0,1
